atom_root	views	data_schema	exposed_tokens	tracking	accessibility	TOTAL	class
./aitom_family/accordion_item	1	1	1	1	0	4	READY
./aitom_family/app_header_appname_dropdown	1	1	1	1	1	5	READY
./aitom_family/blackboard	0	1	0	0	0	1	PARTIAL
./aitom_family/borderless_big_chat	0	0	0	0	0	0	PLACEHOLDER
./aitom_family/bottom_chat_input_bar	2	2	2	3	2	11	READY
./aitom_family/button_group	0	0	0	0	0	0	PLACEHOLDER
./aitom_family/button_single	0	0	0	0	0	0	PLACEHOLDER
./aitom_family/calendar	0	0	0	0	0	0	PLACEHOLDER
./aitom_family/carousel	1	1	1	1	1	5	READY
./aitom_family/chat_card_v1	3	3	3	3	3	15	READY
./aitom_family/chat_fullscreen_view	0	0	0	0	0	0	PLACEHOLDER
./aitom_family/chat_icon_band_popover	2	1	2	3	2	10	READY
./aitom_family/chat_message_action_bar	1	1	2	3	2	9	READY
./aitom_family/chat_message_block	2	2	2	2	2	10	READY
./aitom_family/chat_message_list	1	2	2	2	2	9	READY
./aitom_family/chat_rail	0	0	0	0	0	0	PLACEHOLDER
./aitom_family/chat_rail_header_bar	2	2	2	3	2	11	READY
./aitom_family/chat_rail_settings	0	0	0	0	0	0	PLACEHOLDER
./aitom_family/chat_rail_shell	3	3	2	3	3	14	READY
./aitom_family/chat_rail_sliders	0	0	0	0	0	0	PLACEHOLDER
./aitom_family/chat_rail_tools	0	0	0	0	0	0	PLACEHOLDER
./aitom_family/chat_safety_controls_bar	2	1	2	3	2	10	READY
./aitom_family/chat_settings	0	0	0	0	0	0	PLACEHOLDER
./aitom_family/chat_shortcuts_popover	1	1	2	3	2	9	READY
./aitom_family/chat_upload_source_picker	1	2	2	3	2	10	READY
./aitom_family/cluster_popup	0	0	0	0	0	0	PLACEHOLDER
./aitom_family/cluster_rep	0	0	0	0	0	0	PLACEHOLDER
./aitom_family/cta_button	0	0	0	0	0	0	PLACEHOLDER
./aitom_family/deliverability_email_settings	0	0	0	0	0	0	PLACEHOLDER
./aitom_family/desktop_floating_chat	0	0	0	0	0	0	PLACEHOLDER
./aitom_family/divider	1	1	1	1	0	4	READY
./aitom_family/dropdown_header	0	1	0	0	1	2	PARTIAL
./aitom_family/element_aeo_settings	0	0	0	0	0	0	PLACEHOLDER
./aitom_family/email_from	0	0	0	0	0	0	PLACEHOLDER
./aitom_family/email_subject_line	0	0	0	0	0	0	PLACEHOLDER
./aitom_family/fed_popup	0	0	0	0	0	0	PLACEHOLDER
./aitom_family/fed_rep	0	0	0	0	0	0	PLACEHOLDER
./aitom_family/floating_pill_toolbar	0	0	0	0	1	1	PARTIAL
./aitom_family/form_body_text	0	0	0	0	0	0	PLACEHOLDER
./aitom_family/heading_block	1	1	1	1	0	4	READY
./aitom_family/hero_image	1	1	1	1	0	4	READY
./aitom_family/icon_divider	1	1	1	1	0	4	READY
./aitom_family/icon_grid	1	1	1	1	0	4	READY
./aitom_family/image_media_block	1	1	1	1	0	4	READY
./aitom_family/jumbo_header	0	0	0	0	1	1	PARTIAL
./aitom_family/lanes-viewer	0	0	0	0	0	0	PLACEHOLDER
./aitom_family/lanes_calendar_grid_v1	2	1	1	1	1	6	READY
./aitom_family/layout_columns_grid	0	0	0	0	0	0	PLACEHOLDER
./aitom_family/layout_divider_block	0	0	0	0	0	0	PLACEHOLDER
./aitom_family/layout_group_container	0	0	0	0	0	0	PLACEHOLDER
./aitom_family/layout_spacer_block	0	0	0	0	0	0	PLACEHOLDER
./aitom_family/logo_insert	0	0	0	0	1	1	PARTIAL
./aitom_family/macro_temp_indicator	1	1	1	1	1	5	READY
./aitom_family/main_menu_icon_button	2	1	1	1	1	6	READY
./aitom_family/max_header	0	0	0	0	1	1	PARTIAL
./aitom_family/maybes_note	1	0	0	0	0	1	PARTIAL
./aitom_family/maybes_text_file_explorer	0	0	0	0	0	0	PLACEHOLDER
./aitom_family/micro_public_chat	0	0	0	0	0	0	PLACEHOLDER
./aitom_family/minimal_header	0	0	0	0	1	1	PARTIAL
./aitom_family/multi_feed_grids	1	1	1	1	0	4	READY
./aitom_family/multi_feed_tile	1	1	1	1	0	4	READY
