atom_id	workbench_ready	reason	render_entry_ok	tokens_ok	tokens_apply_visibly	variable_font_ok	behaviour_ok	a11y_tracking_ok
accordion_item	YES	Ready	YES	YES	YES	YES	YES	YES
app_header_appname_dropdown	YES	Ready	YES	YES	YES	YES	YES	YES
blackboard	YES	Ready	YES	YES	YES	YES	YES	YES
bottom_chat_input_bar	YES	Ready	YES	YES	YES	YES	YES	YES
carousel	YES	Ready	YES	YES	YES	YES	YES	YES
chat_card_v1	YES	Ready	YES	YES	YES	YES	YES	YES
chat_icon_band_popover	YES	Ready	YES	YES	YES	YES	YES	YES
chat_message_action_bar	YES	Ready	YES	YES	YES	YES	YES	YES
chat_message_block	YES	Ready	YES	YES	YES	YES	YES	YES
chat_message_list	YES	Ready	YES	YES	YES	YES	YES	YES
chat_rail_header_bar	YES	Ready	YES	YES	YES	YES	YES	YES
chat_rail_shell	YES	Ready	YES	YES	YES	YES	YES	YES
chat_safety_controls_bar	YES	Ready	YES	YES	YES	YES	YES	YES
chat_shortcuts_popover	YES	Ready	YES	YES	YES	YES	YES	YES
chat_upload_source_picker	YES	Ready	YES	YES	YES	YES	YES	YES
cta_button	YES	Ready	YES	YES	YES	YES	YES	YES
divider	YES	Ready	YES	YES	YES	YES	YES	YES
dropdown_header	YES	Ready	YES	YES	YES	YES	YES	YES
floating_pill_toolbar	YES	Ready	YES	YES	YES	YES	YES	YES
heading_block	YES	Ready	YES	YES	YES	YES	YES	YES
hero_image	YES	Ready	YES	YES	YES	YES	YES	YES
icon_divider	YES	Ready	YES	YES	YES	YES	YES	YES
icon_grid	YES	Ready	YES	YES	YES	YES	YES	YES
image_media_block	YES	Ready	YES	YES	YES	YES	YES	YES
lanes_calendar_grid_v1	YES	Ready	YES	YES	YES	YES	YES	YES
macro_temp_indicator	YES	Ready	YES	YES	YES	YES	YES	YES
main_menu_icon_button	YES	Ready	YES	YES	YES	YES	YES	YES
maybes_note	YES	Ready	YES	YES	YES	YES	YES	YES
multi_feed_grids	YES	Ready	YES	YES	YES	YES	YES	YES
multi_feed_tile	YES	Ready	YES	YES	YES	YES	YES	YES
quote_block	YES	Ready	YES	YES	YES	YES	YES	YES
rich_text_block	YES	Ready	YES	YES	YES	YES	YES	YES
section_blog_posts	YES	Ready	YES	YES	YES	YES	YES	YES
section_collection_list	YES	Ready	YES	YES	YES	YES	YES	YES
section_custom_markup	YES	Ready	YES	YES	YES	YES	YES	YES
section_email_signup	YES	Ready	YES	YES	YES	YES	YES	YES
section_featured_collection_grid	YES	Ready	YES	YES	YES	YES	YES	YES
section_hero_banner	YES	Ready	YES	YES	YES	YES	YES	YES
section_image_with_text	YES	Ready	YES	YES	YES	YES	YES	YES
section_media_collage	YES	Ready	YES	YES	YES	YES	YES	YES
section_multicolumn_features	YES	Ready	YES	YES	YES	YES	YES	YES
section_rich_text	YES	Ready	YES	YES	YES	YES	YES	YES
section_slideshow	YES	Ready	YES	YES	YES	YES	YES	YES
theme_card_surface	YES	Ready	YES	YES	YES	YES	YES	YES
theme_colour_schemes	YES	Ready	YES	YES	YES	YES	YES	YES
theme_layout_settings	YES	Ready	YES	YES	YES	YES	YES	YES
theme_typography_settings	YES	Ready	YES	YES	YES	YES	YES	YES
video_media_block	YES	Ready	YES	YES	YES	YES	YES	YES
wireframe_canvas	YES	Ready	YES	YES	YES	YES	YES	YES
