Atom ID	Location	Status	Buckets	Files
borderless_big_chat	inactive	Complete (Structure)	10	10
button_group	inactive	Complete (Structure)	10	10
button_single	inactive	Complete (Structure)	10	10
calendar	inactive	Complete (Structure)	10	10
chat_fullscreen_view	inactive	Complete (Structure)	10	10
chat_rail	inactive	Complete (Structure)	10	10
chat_rail_settings	inactive	Complete (Structure)	10	10
chat_rail_sliders	inactive	Complete (Structure)	10	10
chat_rail_tools	inactive	Complete (Structure)	10	10
chat_settings	inactive	Complete (Structure)	10	10
cluster_popup	inactive	Complete (Structure)	10	10
cluster_rep	inactive	Complete (Structure)	10	10
deliverability_email_settings	inactive	Complete (Structure)	10	10
desktop_floating_chat	inactive	Complete (Structure)	10	10
element_aeo_settings	inactive	Complete (Structure)	10	10
email_from	inactive	Complete (Structure)	10	10
email_subject_line	inactive	Complete (Structure)	10	10
fed_popup	inactive	Complete (Structure)	10	10
fed_rep	inactive	Complete (Structure)	10	10
form_body_text	inactive	Complete (Structure)	10	10
haze_fpv_canvas	active	Complete (Structure)	10	10
haze_fpv_hud	active	Complete (Structure)	10	10
haze_node_info	active	Complete (Structure)	10	10
jumbo_header	inactive	Complete (Structure)	10	10
lanes-viewer	inactive	Complete (Structure)	10	10
layout_columns_grid	inactive	Complete (Structure)	10	10
layout_divider_block	inactive	Complete (Structure)	10	10
layout_group_container	inactive	Complete (Structure)	10	10
layout_spacer_block	inactive	Complete (Structure)	10	10
logo_insert	inactive	Complete (Structure)	10	10
max_header	inactive	Complete (Structure)	10	10
maybes_text_file_explorer	inactive	Complete (Structure)	10	10
micro_public_chat	inactive	Complete (Structure)	10	10
minimal_header	inactive	Complete (Structure)	10	10
nexus	inactive	Complete (Structure)	10	10
page_seo_settings	inactive	Complete (Structure)	10	10
page_tracking_settings	inactive	Complete (Structure)	10	10
product_buy_buttons_block	inactive	Complete (Structure)	10	10
product_collapsible_section	inactive	Complete (Structure)	10	10
product_description_block	inactive	Complete (Structure)	10	10
product_info_stack	inactive	Complete (Structure)	10	10
product_media_gallery	inactive	Complete (Structure)	10	10
product_price_block	inactive	Complete (Structure)	10	10
product_recommendations_section	inactive	Complete (Structure)	10	10
product_title_block	inactive	Complete (Structure)	10	10
product_variant_picker	inactive	Complete (Structure)	10	10
signup	inactive	Complete (Structure)	10	10
surface_header_nano	inactive	Complete (Structure)	10	10
surface_header_shell_micro	inactive	Complete (Structure)	10	10
surface_header_shell_standard	inactive	Complete (Structure)	10	10
surface_logo_centerpiece	inactive	Complete (Structure)	10	10
swarm_chat_bars	inactive	Complete (Structure)	10	10
swarm_group_chat_bar	inactive	Complete (Structure)	10	10
table_insert	inactive	Complete (Structure)	10	10
