section	token_key	token_type	controller_kind	controller_config	notes	status	option_source	missing_siblings	animation_spec
accordion_item	content.title	string	text	{}	Initial value: Is this a migrated atom?	ACTIVE			
accordion_item	content.body	string	text	{}	Initial value: Yes, it has been manually updated to show that we can recover legacy functionality.	ACTIVE			
accordion_item	typography.title.size	string	dimension	{}	Initial value: 16px	ACTIVE			
accordion_item	typography.title.weight	number	slider	{"min":100,"max":900,"step":10}	Initial value: 600	ACTIVE			
accordion_item	typography.title.letter_spacing	string	slider	{"min":-100,"max":250,"step":1}	Initial value: 0px	ACTIVE			
accordion_item	typography.title.width	number	dimension	{}	Initial value: 100	ACTIVE			
accordion_item	typography.title.slant	number	slider	{"min":-10,"max":0,"step":1}	Initial value: 0	ACTIVE			
accordion_item	typography.title.animation.animation_mode	string	dropdown	{"options":["ON_SCROLL","OFF"]}	Initial value: OFF	ACTIVE			
accordion_item	typography.title.animation.animation_style	string	dropdown	{"options":["BREATHE_IN","BREATHE_OUT","LEAN_BACK"]}	Initial value: BREATHE_IN	ACTIVE			
accordion_item	typography.title.color	string	color	{}	Initial value: #000	ACTIVE			
accordion_item	typography.body.size	string	dimension	{}	Initial value: 14px	ACTIVE			
accordion_item	typography.body.weight	number	slider	{"min":100,"max":900,"step":10}	Initial value: 400	ACTIVE			
accordion_item	typography.body.letter_spacing	string	slider	{"min":-100,"max":250,"step":1}	Initial value: 0px	ACTIVE			
accordion_item	typography.body.width	number	dimension	{}	Initial value: 100	ACTIVE			
accordion_item	typography.body.slant	number	slider	{"min":-10,"max":0,"step":1}	Initial value: 0	ACTIVE			
accordion_item	typography.body.animation.animation_mode	string	dropdown	{"options":["ON_SCROLL","OFF"]}	Initial value: OFF	ACTIVE			
accordion_item	typography.body.animation.animation_style	string	dropdown	{"options":["BREATHE_IN","BREATHE_OUT","LEAN_BACK"]}	Initial value: BREATHE_IN	ACTIVE			
accordion_item	typography.body.color	string	color	{}	Initial value: #444	ACTIVE			
accordion_item	typography.body.line_height	string	dimension	{}	Initial value: 1.5	ACTIVE			
accordion_item	color.background	string	color	{}	Initial value: #ffffff	ACTIVE			
accordion_item	color.border	string	stepper	{}	Initial value: #dddddd	ACTIVE			
accordion_item	color.expanded_bg	string	color	{}	Initial value: #f9f9f9	ACTIVE			
accordion_item	border.width	string	dimension	{}	Initial value: 1px	ACTIVE			
accordion_item	border.color	string	color	{}	Initial value: #dddddd	ACTIVE			
accordion_item	border.radius	string	dimension	{}	Initial value: 4px	ACTIVE			
accordion_item	spacing.padding.top	string	dimension	{}	Initial value: 16px	ACTIVE			
accordion_item	spacing.padding.right	string	dimension	{}	Initial value: 16px	ACTIVE			
accordion_item	spacing.padding.bottom	string	dimension	{}	Initial value: 16px	ACTIVE			
accordion_item	spacing.padding.left	string	dimension	{}	Initial value: 16px	ACTIVE			
accordion_item	size.width	string	dimension	{}	Initial value: 100%	ACTIVE			
accordion_item	layout	NA	text	{}	Initial value: [object Object]	NA			
accordion_item	effects	NA	text	{}	Initial value: [object Object]	NA			
accordion_item	media	NA	text	{}	Initial value: [object Object]	NA			
accordion_item	interaction.open_by_default	boolean	toggle	{}	Initial value: false	ACTIVE			
accordion_item	linking	NA	text	{}	Initial value: [object Object]	NA			
accordion_item	data_binding.status	string	dropdown	{"options":["ENABLED","DISABLED","NA"]}	Initial value: ENABLED	ACTIVE			
accordion_item	tracking.analytics_event_name	string	text	{}	Initial value: accordion_open	ACTIVE			
accordion_item	accessibility.role	string	dropdown	{"options":["button","article","banner","navigation","main","complementary","region","img","none"]}	Initial value: button	ACTIVE			
accordion_item	constraints	NA	text	{}	Initial value: [object Object]	NA			
agent_node	content.agent_name.content	string	text	{}	Initial value: Agent Name	ACTIVE			
agent_node	content.agent_name.placeholder	string	text	{}	Initial value: e.g. Customer Support	ACTIVE			
agent_node	content.agent_kind.content	string	text	{}	Initial value: Kind	ACTIVE			
agent_node	content.agent_kind.placeholder	string	text	{}	Initial value: e.g. Chat	ACTIVE			
agent_node	content.icon.src	string	text	{}	Initial value: mock_asset	ACTIVE			
agent_node	style.background_color	string	color	{}	Initial value: #000000	ACTIVE			
agent_node	style.text_color	string	color	{}	Initial value: #ffffff	ACTIVE			
agent_node	style.accent_color	string	color	{}	Initial value: #333333	ACTIVE			
columns_grid	content	NA	text	{}	Initial value: [object Object]	NA			
columns_grid	typography	NA	text	{}	Initial value: [object Object]	NA			
columns_grid	color.background	string	color	{}	Initial value: transparent	ACTIVE			
columns_grid	color.border	string	stepper	{}	Initial value: transparent	ACTIVE			
columns_grid	color.text	string	color	{}	Initial value: inherit	ACTIVE			
columns_grid	border.width	string	dimension	{}	Initial value: 0px	ACTIVE			
columns_grid	border.radius	string	dimension	{}	Initial value: 0px	ACTIVE			
columns_grid	border.style	string	dropdown	{"options":["normal","italic"]}	Initial value: none	ACTIVE			
columns_grid	border.color	string	color	{}	Initial value: transparent	ACTIVE			
columns_grid	spacing.padding.top	string	dimension	{}	Initial value: 0px	ACTIVE			
columns_grid	spacing.padding.right	string	dimension	{}	Initial value: 0px	ACTIVE			
columns_grid	spacing.padding.bottom	string	dimension	{}	Initial value: 0px	ACTIVE			
columns_grid	spacing.padding.left	string	dimension	{}	Initial value: 0px	ACTIVE			
columns_grid	spacing.margin.top	string	dimension	{}	Initial value: 0px	ACTIVE			
columns_grid	spacing.margin.right	string	dimension	{}	Initial value: 0px	ACTIVE			
columns_grid	spacing.margin.bottom	string	dimension	{}	Initial value: 0px	ACTIVE			
columns_grid	spacing.margin.left	string	dimension	{}	Initial value: 0px	ACTIVE			
columns_grid	spacing.gap	string	dimension	{}	Initial value: 20px	ACTIVE			
columns_grid	size.width	string	dimension	{}	Initial value: 100%	ACTIVE			
