name	opsz	wght	GRAD	wdth	slnt	XOPQ	YOPQ	XTRA	YTUC	YTLC	YTAS	YTDE	YTFI
Thin	14.0	100.0	0.0	100.0	0.0	96.0	79.0	468.0	712.0	514.0	750.0	-203.0	738.0
ExtraLight	14.0	200.0	0.0	100.0	0.0	96.0	79.0	468.0	712.0	514.0	750.0	-203.0	738.0
Light	14.0	300.0	0.0	100.0	0.0	96.0	79.0	468.0	712.0	514.0	750.0	-203.0	738.0
Regular	14.0	400.0	0.0	100.0	0.0	96.0	79.0	468.0	712.0	514.0	750.0	-203.0	738.0
Medium	14.0	500.0	0.0	100.0	0.0	96.0	79.0	468.0	712.0	514.0	750.0	-203.0	738.0
SemiBold	14.0	600.0	0.0	100.0	0.0	96.0	79.0	468.0	712.0	514.0	750.0	-203.0	738.0
Bold	14.0	700.0	0.0	100.0	0.0	96.0	79.0	468.0	712.0	514.0	750.0	-203.0	738.0
ExtraBold	14.0	800.0	0.0	100.0	0.0	96.0	79.0	468.0	712.0	514.0	750.0	-203.0	738.0
Black	14.0	900.0	0.0	100.0	0.0	96.0	79.0	468.0	712.0	514.0	750.0	-203.0	738.0
ExtraBlack	14.0	1000.0	0.0	100.0	0.0	96.0	79.0	468.0	712.0	514.0	750.0	-203.0	738.0
Thin Italic	14.0	100.0	0.0	100.0	-10.0	96.0	79.0	468.0	712.0	514.0	750.0	-203.0	738.0
ExtraLight Italic	14.0	200.0	0.0	100.0	-10.0	96.0	79.0	468.0	712.0	514.0	750.0	-203.0	738.0
Light Italic	14.0	300.0	0.0	100.0	-10.0	96.0	79.0	468.0	712.0	514.0	750.0	-203.0	738.0
Italic	14.0	400.0	0.0	100.0	-10.0	96.0	79.0	468.0	712.0	514.0	750.0	-203.0	738.0
Medium Italic	14.0	500.0	0.0	100.0	-10.0	96.0	79.0	468.0	712.0	514.0	750.0	-203.0	738.0
SemiBold Italic	14.0	600.0	0.0	100.0	-10.0	96.0	79.0	468.0	712.0	514.0	750.0	-203.0	738.0
Bold Italic	14.0	700.0	0.0	100.0	-10.0	96.0	79.0	468.0	712.0	514.0	750.0	-203.0	738.0
ExtraBold Italic	14.0	800.0	0.0	100.0	-10.0	96.0	79.0	468.0	712.0	514.0	750.0	-203.0	738.0
Black Italic	14.0	900.0	0.0	100.0	-10.0	96.0	79.0	468.0	712.0	514.0	750.0	-203.0	738.0
ExtraBlack Italic	14.0	1000.0	0.0	100.0	-10.0	96.0	79.0	468.0	712.0	514.0	750.0	-203.0	738.0
