Framework	Meta_Capable	Mode_Registry_ID	Mode_Name	Implementation_File	Status
ADK	No	adk.sessions_memory	Sessions Memory	runtime/adk/modes/sessions_memory.py	Implemented
ADK	No	adk.simulation	Simulation Loop	runtime/adk/modes/simulation.py	Implemented
ADK	No	adk.tools_custom	Custom Tools	runtime/adk/modes/tools_custom.py	Implemented
AutoGen	No	autogen.code_execution	Code Execution	runtime/autogen/modes/code_execution.py	Implemented (Stub)
AutoGen	No	autogen.handoff_swarm	Handoff Swarm	runtime/autogen/modes/handoff_swarm.py	Implemented
AutoGen	No	autogen.human_input	Human Input	runtime/autogen/modes/human_input.py	Implemented
AutoGen	No	autogen.nested_chat	Nested Chat	runtime/autogen/modes/nested_chat.py	Implemented
AutoGen	No	autogen.rag_retrieval	RAG Retrieval	runtime/autogen/modes/rag_retrieval.py	Implemented
AutoGen	No	autogen.round_robin_groupchat	Round Robin	runtime/autogen/modes/round_robin.py	Implemented
AutoGen	No	autogen.selection_random	Random Selection	runtime/autogen/modes/selection_random.py	Implemented (Stub)
AutoGen	No	autogen.selector_groupchat	Selector GroupChat	runtime/autogen/modes/selector.py	Implemented
AutoGen	No	autogen.sequential_chat	Sequential Chat	runtime/autogen/modes/sequential_chat.py	Implemented (Stub)
AutoGen	No	autogen.stub_control	Stub Control	runtime/autogen/modes/stub_control.py	Implemented
AutoGen	No	autogen.teachable_agent	Teachable Agent	runtime/autogen/modes/teachable_agent.py	Implemented
AutoGen	No	autogen.termination	Termination	runtime/autogen/modes/termination.py	Implemented (Stub)
AutoGen	No	autogen.tools_function	Tools Function	runtime/autogen/modes/tools_function.py	Implemented
AutoGen	No	autogen.two_agent_chat	Two Agent Chat	runtime/autogen/modes/two_agent_chat.py	Implemented
Bedrock	No	bedrock.action_groups	Action Groups	runtime/bedrock/modes/action_groups.py	Implemented
Bedrock	No	bedrock.agent_orchestration	Agent Orchestration	runtime/bedrock/modes/agent_orchestration.py	Implemented
Bedrock	No	bedrock.guardrails	Guardrails	runtime/bedrock/modes/guardrails.py	Implemented
Bedrock	No	bedrock.knowledge_bases	Knowledge Bases	runtime/bedrock/modes/knowledge_bases.py	Implemented
Bedrock	No	bedrock.token_stream_converse	Token Stream	runtime/bedrock/modes/converse_stream.py	Implemented
CrewAI	Partial	crewai.crew_hierarchical	Crew Hierarchical	runtime/crewai/modes/crew_hierarchical.py	Implemented
CrewAI	Partial	crewai.crew_sequential	Crew Sequential	runtime/crewai/modes/crew_sequential.py	Implemented
CrewAI	Partial	crewai.execution_async	Execution Async	runtime/crewai/modes/execution_async.py	Implemented (Stub)
CrewAI	Partial	crewai.flow_basic	Flow Basic	runtime/crewai/modes/flow_basic.py	Implemented
CrewAI	Partial	crewai.flow_control	Flow Control	runtime/crewai/modes/flow_control.py	Implemented (Stub)
CrewAI	Partial	crewai.flow_hybrid	Flow Hybrid	runtime/crewai/modes/flow_hybrid.py	Implemented
CrewAI	Partial	crewai.flow_persistence	Flow Persistence	runtime/crewai/modes/flow_persistence.py	Implemented
CrewAI	Partial	crewai.flow_router	Flow Router	runtime/crewai/modes/flow_router.py	Implemented
CrewAI	Partial	crewai.hierarchical	Hierarchical Process	runtime/crewai/modes/hierarchical.py	Implemented
CrewAI	Partial	crewai.hitl	HITL	runtime/crewai/modes/hitl.py	Implemented (Stub)
CrewAI	Partial	crewai.knowledge_file	Knowledge File	runtime/crewai/modes/knowledge_file.py	Implemented
CrewAI	Partial	crewai.knowledge_string	Knowledge String	runtime/crewai/modes/knowledge_string.py	Implemented
CrewAI	Partial	crewai.knowledge_web	Knowledge Web	runtime/crewai/modes/knowledge_web.py	Implemented
CrewAI	Partial	crewai.manager_custom	Manager Custom	runtime/crewai/modes/manager_custom.py	Implemented (Stub)
CrewAI	Partial	crewai.memory_demo	Memory Demo	runtime/crewai/modes/memory_demo.py	Implemented
CrewAI	Partial	crewai.planning_demo	Planning Demo	runtime/crewai/modes/planning_demo.py	Implemented
CrewAI	Partial	crewai.sequential	Sequential Process	runtime/crewai/modes/sequential.py	Implemented
CrewAI	Partial	crewai.tools_custom	Tools Custom	runtime/crewai/modes/tools_custom.py	Implemented
LangGraph	Yes	langgraph.conditional_router	Conditional Router	runtime/langgraph/modes/conditional_router.py	Implemented
LangGraph	Yes	langgraph.human_approval	Human Approval	runtime/langgraph/modes/human_approval.py	Implemented
LangGraph	Yes	langgraph.map_reduce	Map Reduce	runtime/langgraph/modes/map_reduce.py	Implemented
LangGraph	Yes	langgraph.memory	Memory	runtime/langgraph/modes/memory.py	Implemented
LangGraph	Yes	langgraph.sequential_chain	Sequential Chain	runtime/langgraph/modes/sequential.py	Implemented
LangGraph	Yes	langgraph.streaming_astream	Streaming	runtime/langgraph/modes/streaming_astream.py	Implemented
Strands	Yes	strands.dag_parallel	DAG Parallel	runtime/strands/modes/dag_parallel.py	Implemented
Strands	Yes	strands.default	Default	runtime/strands/modes/default.py	Implemented
Strands	Yes	strands.linear_sequence	Linear Sequence	runtime/strands/modes/linear_sequence.py	Implemented
